english,sinhala
Tom should be careful not to underestimate Mary.,ටොම් මරියා අවතක්සේරු නොකිරීමට වගබලා ගත යුතුය.
Tom should have known better than to trust Mary.,මරියා විශ්වාස කිරීමට වඩා ටොම් හොඳින් දැන සිටිය යුතුව තිබුණි.
Tom should have listened to Mary more carefully.,ටොම් මරියාට වඩාත් හොඳින් ඇහුම්කන් දිය යුතුව තිබුණි.
Tom shouldn't tell Mary anything about his past.,ටොම් ඔහුගේ අතීතය ගැන කිසිවක් මරියාට නොකිය යුතුය.
Tom spent all morning in the interrogation room.,ටොම් මුළු උදෑසනම ප්රශ්න කිරීමේ කාමරයේ ගත කළා.
Tom spent hours looking at the fish in the tank.,ටොම් ටැංකියේ මාළු දෙස බලා පැය ගණනක් ගත කළේය.
Tom talked Mary into inviting John to the party.,ටොම් යොහන් පක්ෂයට ආරාධනා කරන ලෙස මරියා කතා කළේය.
Tom thought Mary knew where to buy black pepper.,ටොම් සිතුවේ මරියා කළු ගම්මිරිස් මිලදී ගත හැකි ස්ථානය දැන සිටියේය.
Tom thought he was going to get a higher salary.,ටොම් සිතුවේ ඔහු ඉහළ වැටුපක් ලබා දෙන බවයි.
Tom thought that Mary was likely to get the job.,ටොම් සිතුවේ මරියාට එම කාර්යය ලබා ගැනීමට ඉඩ ඇති බවයි.
"Tom threw a rock at Mary, but it didn't hit her.","ටොම් මරියාට පර්වතයක් විසි කළා, නමුත් එය ඇයට පහර දුන්නේ නැහැ."
Tom told Mary he wouldn't let her go by herself.,ටොම් මේරිට කිව්වා ඔහු ඇයට තනිවම යන්න දෙන්නේ නැහැ කියලා.
Tom told Mary not to go out at night by herself.,ටොම් මරියාට පැවසුවේ තමා විසින්ම රාත්රියේ එළියට නොයන ලෙසයි.
Tom told Mary something she didn't want to hear.,ටොම් මරියාට කිව්වා ඇයට ඇහුම්කන් දීමට අකමැති දෙයක්.
Tom told Mary that he couldn't live without her.,ටොම් මරියාට පැවසුවේ තමා නොමැතිව තමා නොමැතිව ජීවත් විය නොහැකි බවයි.
Tom told Mary that he'd go to Boston in October.,ටොම් මරියාට පැවසුවේ ඔහු ඔක්තෝම්බර් මාසයේදී බොස්ටන් වෙත යන බවයි.
Tom told Mary to buy some coffee and cigarettes.,ටොම් මේරි වෙත පැවසුවේ කෝපි සහ සිගරට් කිහිපයක් මිලදී ගැනීමටයි.
Tom told his son not to eat with his mouth open.,ටොම් තම පුතාට කටක් විවෘතව කතා නොකරන ලෙස කීවේය.
Tom told the judge he wanted a different lawyer.,ටොම් විනිසුරුවරයාට පැවසුවේ ඔහුට වෙනත් නීති .යෙකු අවශ්ය බවයි.
Tom took a knife out of a drawer in the kitchen.,ටොම් මුළුතැන්ගෙයෙහි ලාච්චුවකින් පිහියක් ගත්තේය.
Tom took off his clothes and put on his pajamas.,ටොම් ඔහුගේ ඇඳුම් ගලවා ඔහුගේ පිජාමා පැළඳ ගත්තේය.
Tom tried to prevent Mary from joining the army.,ටොම් මරියා හමුදාවට බැඳීමෙන් වැළැක්වීමට උත්සාහ කළේය.
Tom tried to prevent Mary from opening the door.,ටොම් මරියා දොර විවර වීම වැළැක්වීමට උත්සාහ කළේය.
Tom wanted Mary to know that he didn't hate her.,ටොම්ට අවශ්ය වූයේ තමා ඇයට වෛර නොකළ බව මරියා දැන ගැනීමටයි.
Tom wanted Mary to tell him about her childhood.,ටොම්ට මේ නිසා ඇගේ ළමා කාලය ගැන ඔහුට කියන්න.
Tom was a mean man before his daughter was born.,ටොම් තම දියණිය ඉපදීමට පෙර මධ්යන්ය මිනිසෙකි.
"Tom was about to be shot, but he didn't know it.",ටොම් වෙඩි තැබීමට ආසන්නව තිබුණත් ඔහු එය දැන සිටියේ නැත.
Tom was accused of collaborating with the enemy.,ටොම් සතුරා සමඟ සහයෝගයෙන් කටයුතු කළ බවට චෝදනා එල්ල විය.
Tom was hoping Mary wouldn't find out the truth.,ටොම් බලාපොරොත්තු වූයේ මරියා සත්යය සොයා ගන්නේ නැති බවයි.
Tom was surprised that Mary had changed so much.,මේරි මෙතරම් වෙනස් වී ඇති බව ටොම් පුදුමයට පත් විය.
Tom was the last person I expected to see there.,ටොම් යනු මා එහි දැකීමට අපේක්ෂා කළ අවසන් පුද්ගලයායි.
Tom was the only person in the room at the time.,ටෝම් එකල කාමරයේ ඇති එකම පුද්ගලයා විය.
Tom was touched that Mary was worried about him.,මරියා ඔහු ගැන කනස්සල්ලට පත්ව සිටි බව ටොම් ස්පර්ශ විය.
Tom was unable to decide who he should vote for.,ඔහු ඡන්දය දිය යුත්තේ කාටද යන්න තීරණය කිරීමට ටොම්ට නොහැකි විය.
Tom was unable to understand anything Mary said.,ටොම්ට මරියා පැවසූ දෙයක් තේරුම් ගැනීමට නොහැකි විය.
Tom was willing to sacrifice everything for you.,ටොම් ඔබ වෙනුවෙන් සියල්ල කැප කිරීමට කැමති විය.
Tom wasn't completely happy with the settlement.,ටොම්ව බේරුම්කරණය ගැන සම්පූර්ණයෙන්ම සතුටු නොවීය.
Tom will finish serving his sentence next month.,ටොම් විසින් ලබන මාසයේ ඔහුගේ ද sentence ුවම සේවය කිරීම අවසන් කරනු ඇත.
Tom will get a better job with a college degree.,ටොම්ට විශ්ව විද්යාල උපාධියක් සමඟ වඩා හොඳ රැකියාවක් ලැබෙනු ඇත.
Tom wondered how fast Mary could climb a ladder.,ටොම් කල්පනා කළේ මරියාට කෙතරම් වේගයෙන් ඉණිමඟක් නැගිය හැකිද යන්නයි.
Tom wondered how many pairs of shoes Mary owned.,ටොම් කල්පනා කළේ මරියාගේ සපත්තු යුගල කීයක් තිබේද යන්නයි.
Tom wondered who Mary had driven to the airport.,ටොම් මරියා ගුවන්තොටුපළට තල්ලු කළේ කවුදැයි කල්පනා කළේය.
Tom worked for a construction company in Boston.,ටොම් බොස්ටන්හි ඉදිකිරීම් සමාගමක් සඳහා සේවය කළේය.
Tom's apartment is way too big for just one man.,ටොම්ගේ මහල් නිවාසය එක් මිනිසෙකුට පමණක් විශාල ය.
Tom's bicycle was blue before he painted it red.,ටොම්ගේ බයිසිකලය නිල් පැහැයට පෙර එය රතු පැහැයක් ගත්තේය.
Tom's dream is to go to a university in England.,ටොම්ගේ සිහිනය වන්නේ එංගලන්තයේ විශ්ව විද්යාලයකට යා යුතුය.
Tom's house is only three blocks away from here.,ටොම්ගේ නිවස මෙතැනින් බැහැර කුට්ටි තුනක් පමණි.
"Tom, Mary and John sat around the kitchen table.","ටොම්, මේරි සහ ජෝන් මුළුතැන්ගෙයි මේසය වටා වාඩි වූහ."
"Tom, Mary and John shared the cost of the party.","ටොම්, මේරි සහ යොහන් පක්ෂයේ පිරිවැය බෙදාගත්තා."
Tomorrow is my birthday and I will be seventeen.,හෙට මගේ උපන් දිනය වන අතර මම දහහතක් වනු ඇත.
Trees give off oxygen and absorb carbon dioxide.,ගස් ඔක්සිජන් ලබා දෙන අතර කාබන් ඩයොක්සයිඩ් අවශෝෂණය කර ගනී.
Trying to find happiness only makes you unhappy.,සතුට සොයා ගැනීමට උත්සාහ කිරීම ඔබව අවාසනාවන්තයි.
Under no circumstances should you go away today.,කිසිම අවස්ථාවක ඔබ අදට නොගිය යුතුය.
"Unless I am mistaken, I've seen that man before.","මම වැරදියට තේරුම් නොගත්තොත්, මම මීට පෙර එම මිනිසා දැක ඇත්තෙමි."
Valencia is famous for its unusual architecture.,වැලෙන්සියා අසාමාන්ය ගෘහ නිර්මාණ ශිල්පය සඳහා ප්රසිද්ධය.
Water boils at 100 degrees Celsius at sea level.,මුහුදු මට්ටමේ සෙල්සියස් අංශක 100 ට ජලය තල්ලු කරයි.
We all try to get together at least once a year.,අපි හැමෝම අවම වශයෙන් වසරකට වරක්වත් එකට එකතු වීමට උත්සාහ කරමු.
We can't open this envelope until Tom gets here.,ටොම් මෙහි පැමිණෙන තෙක් අපට මෙම ලියුම් කවරය විවෘත කළ නොහැක.
We discovered relics of an ancient civilization.,පුරාණ ශිෂ්ටාචාරයක ධාතූන් වහන්සේ අප විසින් සොයා ගත්තෙමු.
We don't have much snow here even in the winter.,ශීත in තුවේ දී පවා අපට මෙහි එතරම් හිම නැත.
We got lost in the desert with no water or food.,ජලය හෝ ආහාර නොමැතිව අපට කාන්තාරයේදී අහිමි විය.
We had better leave her alone for a few minutes.,අපි ඇයව විනාඩි කිහිපයක් ගත කළා.
We had no choice but to leave the matter to him.,මේ කාරණය ඔහු වෙත හැර යාම හැර අපට වෙනත් විකල්පයක් නොතිබුණි.
We have another ten miles to walk before sunset.,හිරු බැස යෑමට පෙර ඇවිදීමට අපට තවත් සැතපුම් දහයක් තිබේ.
We have known each other since we were children.,අපි දරුවන් වූ දා සිට අපි එකිනෙකා හඳුනමු.
We have little money available for the research.,අපට පර්යේෂණය සඳහා සුළු මුදලක් ලබා ගත හැකිය.
We have some new products we'd like to show you.,අපි ඔබට පෙන්වීමට කැමති නව නිෂ්පාදන කිහිපයක් අප සතුව ඇත.
We have to find a new market for these products.,මෙම නිෂ්පාදන සඳහා අප නව වෙළඳපොලක් සොයා ගත යුතුය.
We have to memorize this poem by the next class.,ඊළඟ පන්තිය විසින් මෙම කවිය කටපාඩම් කළ යුතුය.
We mentioned that gentleman in the conversation.,අපි එම මහත්වරුන්ගේ සංවාදයේ සඳහන් කළා.
We must love our country as we love our parents.,අපි අපේ දෙමව්පියන්ට ආදරය කරන විට අප අපේ රටට ආදරය කළ යුතුයි.
We must pay attention to environmental problems.,අප පාරිසරික ගැටළු කෙරෙහි අවධානය යොමු කළ යුතුය.
We need to remember to send Tom a birthday card.,ටෙම් උපන්දින කාඩ්පතක් යැවීමට අප මතක තබා ගත යුතුය.
We played a joke on him by leaving him the bill.,අපි බිල්පත හැරීමෙන් ඔහු වෙනුවෙන් විහිළුවක් කළා.
We played basketball and then went to the beach.,අපි පැසිපන්දු ක්රීඩා කර පසුව වෙරළට ගියා.
We postponed our departure because of the storm.,කුණාටුව නිසා අපි ඉවත්ව යාම අපි කල් දැමුවෙමු.
We tend to associate politicians with hypocrisy.,දේශපාලන politicians යන් කුහකකමින් ආශ්රය කිරීමට අපි නැඹුරු වෙමු.
We used to go to the movies on Saturday evening.,අපි සෙනසුරාදා සවස චිත්රපටවලට ගියා.
We want to congratulate them on their good work.,ඔවුන්ගේ හොඳ වැඩ ගැන ඔවුන්ට සුබ පතන්නට අපට අවශ්යය.
We watched the sun setting behind the mountains.,කඳු පිටුපස හිරු බැස යන බව අපි බලා සිටියෙමු.
We went down to the valley where the village is.,අපි ගම කොහෙද මිටියාවතට ගියා.
We went to see a movie with my friend yesterday.,අපි ඊයේ මගේ මිතුරා සමඟ චිත්රපටයක් බැලීමට ගියෙමු.
We were caught in a shower on the way to school.,අපි පාසැල් යන අතරමගදී ස්නානයකට හසු විය.
We were just about to leave when she telephoned.,ඇය දුරකථනයෙන් කතා කරන විට අපි පිටව යා යුතුයි.
We will see whether he will recognize me or not.,ඔහු මාව හඳුනාගෙන නැද්ද යන්න අපි බලමු.
We won't be able to escape punishment this time.,මෙවර ද punishment ුවම් පැන යාමට අපට නොහැකි වනු ඇත.
We'll figure out how to solve the problem later.,පසුව ගැටලුව විසඳන්නේ කෙසේදැයි අපි සොයා බලමු.
We're about to explore some uncharted territory.,අපි නිරුවත් සමහර ප්රදේශයක් ගවේෂණය කිරීමට සූදානම්.
We've been waiting for hours for you to show up.,ඔබ පෙන්වීමට පැය ගණනක් තිස්සේ අපි බලා සිටිමු.
What Tom really wanted was for Mary to be happy.,ටොම්ට ඇත්තටම අවශ්ය වූයේ මරියා සතුටින් සිටීමයි.
What Tom really wanted was some peace and quiet.,ටොම්ට ඇත්තටම අවශ්ය වූයේ යම් සාමය හා නිහ .තාවයයි.
What do Japanese students usually eat for lunch?,සාමාන්යයෙන් දිවා ආහාරය සඳහා අනුභව කරන්නේ කුමක්ද?
What do you spend a majority of your time doing?,ඔබේ කාලයේ ඔබ වැඩි ප්රමාණයක් කරන්නේ කුමක්ද?
What do you want me to do with this little girl?,මේ කුඩා දැරිය සමඟ මා කුමක් කිරීමට ඔබට අවශ්යද?
"What he lacked in wit, he made up for in energy.","ඔහු බුද්ධිමත් දේ, ඔහු සෑදී ඇත්තේ ශක්තියෙන්."
What is your reason for your being late to work?,ඔබ වැඩ කිරීමට ප්රමාද වීමට හේතුව කුමක්ද?
What kind of person would do that kind of thing?,ඒ වගේ දෙයක් කරන්නේ මොන වගේ කෙනෙක්ද?
What makes you think that Tom likes heavy metal?,ටොම් බර ලෝහයට කැමති යැයි ඔබ සිතන්නේ කුමක් නිසාද?
What makes you think that Tom will listen to me?,ටොම් මට ඇහුම්කන් දෙන බව ඔබ සිතන්නේ කුමක් නිසාද?
What number bus do I take to get to Park Street?,පාර්ක් වීදියට යාමට මා ගන්නා සංඛ්යා බස් රථය කුමක්ද?
What surprised me was that Tom didn't know Mary.,ටොම් මරියා නොදැන සිටීම මට පුදුමයක් විය.
What would you do if you were ten years younger?,ඔබ අවුරුදු දහයක් වයසැති නම් ඔබ කරන්නේ කුමක්ද?
What you did was very dangerous and very stupid.,ඔබ කළ දෙය ඉතා භයානක හා ඉතා මෝඩයි.
What you have said applies only to single women.,ඔබ කියූ දේ තනිකඩ කාන්තාවන්ට පමණක් අදාළ වේ.
What's made you think that I'd want to kiss you?,මට ඔබව සිප ගැනීමට අවශ්ය යැයි ඔබ සිතන්නේ කුමක්ද?
What's your favorite place to vacation in Japan?,ජපානයේ නිවාඩුවක් ගත කළ ඔබේ ප්රියතම ස්ථානය කුමක්ද?
What's your favorite song by the Rolling Stones?,රෝලිං ගල් මගින් ඔබේ ප්රියතම ගීතය කුමක්ද?
"When I was a child, I used to swim in that pond.",මම කුඩා කාලයේ මම ඒ පොකුණේ පිහිනීමට පුරුදුව සිටියෙමි.
"When Mary was a child, her family was very poor.",මරියා කුඩා කාලයේ ඇගේ පවුලේ අය ඉතා දුප්පත් විය.
"When PC problems slow you down, what can you do?","පළාත් සභා ගැටළු ඔබව මන්දගාමී වූ විට, ඔබට කුමක් කළ හැකිද?"
"When Tom was young, he ate three eggs every day.",ටොම් තරුණ වියේදී ඔහු සෑම දිනකම බිත්තර තුනක් කෑවා.
"When he retired, his son took over his business.","ඔහු විශ්රාම ගත් විට, ඔහුගේ පුතා සිය ව්යාපාරය භාර ගත්තේය."
"When he retired, his son took over the business.","ඔහු විශ්රාම ගත් විට, ඔහුගේ පුතා ව්යාපාරය භාර ගත්තේය."
"When he saw her letter, he felt somewhat uneasy.",ඇයගේ ලිපිය දුටු විට ඔහුට තරමක් නොසන්සුන් බවක් දැනුනි.
"When his business failed, he was left penniless.","ඔහුගේ ව්යාපාරය අසමත් වූ විට, ඔහු පෙන්වාලි අතහැරියේය."
"When she was reading the letter, she looked sad.",ඇය ලිපිය කියවන විට ඇය දුක් විය.
"When the bell rang, the teacher ended the class.",සීනුව නාද වන විට ගුරුවරයා පන්තිය අවසන් කළේය.
"When there's nothing left to do, what do you do?","කිරීමට කිසිවක් ඉතිරිව ඇති විට, ඔබ කරන්නේ කුමක්ද?"
When was the last time you made your wife happy?,ඔබ අවසන් වරට ඔබේ බිරිඳ සතුටු කළේ කවදාද?
When was the last time you sharpened this knife?,ඔබ අවසන් වරට මෙම පිහිය මුවහත් කළේ කවදාද?
When was the last time you used this dictionary?,ඔබ මෙම ශබ්ද කෝෂය අවසන් වරට භාවිතා කළේ කවදාද?
"When we were kids, we played together every day.",අපි ළමයි ඉන්නකොට අපි හැමදාම එකට සෙල්ලම් කළා.
"Whenever I hear this song, I think of his smile.",මට මේ ගීතය ඇසෙන සෑම විටම මම ඔහුගේ සිනහව ගැන සිතමි.
Where the treasure is hidden is still a mystery.,නිධානය සැඟවී ඇති තැන තවමත් අභිරහසක්.
Who's that cute girl I saw you with at the mall?,මම ඔබව සාප්පුවෙන් දුටු හුරුබුහුටි දැරිය කවුද?
Why are you so interested in what Tom was doing?,ටොම් කරන්නේ කුමන දේ ගැන ඔබ එතරම් උනන්දු වන්නේ ඇයි?
Why did you give up the idea of learning French?,ප්රංශ භාෂාව ඉගෙනීමේ අදහස ඔබ අත්හැරියේ ඇයි?
Why does the US government let people have guns?,එක්සත් ජනපද රජය මිනිසුන්ට තුවක්කු ලබා ගැනීමට ඉඩ දෙන්නේ ඇයි?
Why don't you ask Tom to proofread this for you?,ඔබ වෙනුවෙන් මෙය සනාථ කරන ලෙස ඔබ ටොම්ගෙන් ඉල්ලා සිටින්නේ ඇයි?
"With any luck, there will be no school tomorrow.","ඕනෑම වාසනාවක් සමඟ, හෙට පාසලක් නොමැත."
Would you be so kind as to open the door for me?,මා වෙනුවෙන් දොර විවෘත කිරීමට ඔබ කොතරම් කරුණාවන්තද?
Would you be willing to share your code with me?,ඔබේ කේතය මා සමඟ බෙදා ගැනීමට ඔබ කැමතිද?
Would you like to get married and have children?,ඔබ විවාහ වී දරුවන් ලැබීමට කැමතිද?
Would you like to visit the White House someday?,කවදාහරි ධවල මන්දිරය නැරඹීමට ඔබ කැමතිද?
Would you please tell me the way to the station?,කරුණාකර මට දුම්රිය ස්ථානයට යන මාර්ගය කියන්න?
Yesterday I was told I looked like Kohei Tanaka.,ඊයේ මට කිව්වා මම කොහෙයි ටනාක වගේ.
"You are not a good person. You know that, right?",ඔබ හොඳ පුද්ගලයෙක් නොවේ.ඔයා ඒක දන්නවා නේද?
You are the last person that I expected to meet.,මා හමුවීමට බලාපොරොත්තු වූ අවසාන පුද්ගලයා ඔබයි.
You are to hand in your report by 5:00 tomorrow.,ඔබ ඔබේ වාර්තාවේ හෙට 5:00 වන විට භාර දිය යුතුය.
"You can make a cake with flour, milk and an egg.","ඔබට පිටි, කිරි සහ බිත්තරයක් සහිත කේක් එකක් සෑදිය හැකිය."
You can't drink seawater because it's too salty.,"ඔබට මුහුදු ජලය පානය කළ නොහැක, මන්ද එය ලුණු සහිත බැවිනි."
You can't live your life under these conditions.,මෙම තත්වයන් යටතේ ඔබට ඔබේ ජීවිතය ගත කළ නොහැක.
"You didn't want to tell Tom about that, did you?",ඔයාට ඒ ගැන ටොම්ට කියන්න අවශ්ය වුණේ නැහැ නේද?
You don't have to do anything you don't want to.,ඔබට අවශ්ය නැති කිසිවක් කිරීමට ඔබට අවශ්ය නැත.
You don't have to use such a harsh tone with me.,ඔබ මා සමඟ මෙතරම් කටුක ස්වරයක් භාවිතා කළ යුතු නැත.
"You don't want me to be late for school, do you?",ඔබ පාසැලට ප්රමාද වීමට ඔබ කැමති නැහැ නේද?
"You guys don't think they'd beat Tom up, do you?",ඔයාලා හිතන්නේ නැහැ ඔවුන් ටොම්ට පහර දුන්නා කියලා නේද?
You had better hurry. The train leaves at three.,ඔබ ඉක්මන් කළා.දුම්රිය තුනට පිටත් වේ.
"You have no idea what I'm talking about, do you?",ඔයා මොනවා ගැනද කතා කරන්නේ නේද?
"You have to go there, even if you don't want to.",ඔබට අවශ්ය නැතිනම් ඔබ එහි යා යුතුය.
You must not forget to wake me tomorrow morning.,හෙට උදේ මාව අවදි කිරීමට ඔබ අමතක නොකළ යුතුයි.
You must remember to tell him all that you know.,ඔබ දන්නා සියල්ල ඔහුට පැවසීමට ඔබ මතක තබා ගත යුතුය.
You ought to keep quiet when people are talking.,මිනිසුන් කතා කරන විට ඔබ නිශ්ශබ්දව සිටිය යුතුය.
"You plan to go out dancing with Mary, don't you?",ඔබ මරියා සමඟ නටමින් පිටතට යාමට අදහස් කරනවාද?
You probably haven't yet finished your homework.,ඔබ තවමත් ඔබේ ගෙදර වැඩ අවසන් කර නැත.
"You remember what happened last time, don't you?","ඔබට මතකයි අන්තිම වතාවේ, එහෙම නේද?"
You should assume that Tom won't help us at all.,ටොම් අපට කිසිසේත් උදව් නොකරන බව ඔබ උපකල්පනය කළ යුතුය.
You should be proud of what you've accomplished.,ඔබ ඉටු කළ දේ ගැන ඔබ ආඩම්බර විය යුතුය.
You should call your father as soon as possible.,ඔබ හැකි ඉක්මනින් ඔබේ පියාට කතා කළ යුතුයි.
You should get your eyes examined by the doctor.,ඔබේ දෑස් වෛද්යවරයා විසින් පරීක්ෂා කළ යුතුය.
You should give up smoking since it's unhealthy.,ඔබ සෞඛ්ය සම්පන්න නොවන බැවින් දුම්පානය අත්හැරිය යුතුය.
You should have refused such an unfair proposal.,ඔබ එවැනි අසාධාරණ යෝජනාවක් ප්රතික්ෂේප කළ යුතුව තිබුණි.
You should not despise a man because he is poor.,ඔහු දුප්පත් නිසා ඔබ මිනිසෙකු හෙළා නොදිය යුතුය.
You should obey the traffic laws when you drive.,ඔබ රිය පැදවීමේදී රථවාහන නීතිවලට කීකරු විය යුතුය.
You should practice playing the piano regularly.,ඔබ නිතිපතා පියානෝව වාදනය කළ යුතුය.
You should spend more time studying than you do.,ඔබ ඔබට වඩා වැඩි කාලයක් ඉගෙන ගත යුතුය.
You skipped school today and I want to know why.,ඔබ අද පාසල මඟ හැර ඇති අතර එයට හේතුව මට දැන ගැනීමට අවශ්යයි.
You still haven't told me why you quit your job.,ඔබ ඔබේ රැකියාවෙන් ඉවත් වන්නේ මන්දැයි ඔබ තවමත් මට පවසා නැත.
"You think I won't be able to do that, don't you?","ඔයා හිතන්නේ මට ඒක කරන්න බැහැ, එහෙම නේද?"
You will soon get accustomed to your new school.,ඔබේ නව පාසලට ඔබ ඉක්මනින්ම පුරුදු වනු ඇත.
You won't even remember me a few years from now.,මෙතැන් සිට ඔබ මාව අවුරුදු කීපයක් මතක නැත.
You would have to practice the violin every day.,ඔබට සෑම දිනකම වයලීනය පුහුණු කිරීමට සිදුවේ.
You'd be surprised what you can learn in a week.,සතියකින් ඔබට ඉගෙන ගත හැකි දේ ඔබ පුදුමයට පත් වනු ඇත.
You'll soon get accustomed to this cold weather.,ඔබ ඉක්මනින් මෙම සීත කාලගුණයටම හුරුවෙනු ඇත.
You're going to be in trouble and it's my fault.,ඔබ කරදරයට පත්වන අතර එය මගේ වරදකි.
You're not old enough to get a driver's license.,රියදුරු බලපත්රයක් ලබා ගැනීමට තරම් ඔබ වයස්ගත නොවේ.
You're the most incredible person I've ever met.,ඔබ මට හමු වූ වඩාත්ම ඇදහිය නොහැකි පුද්ගලයා ඔබයි.
You're the only person who shows me any respect.,මට කිසිම ගෞරවයක් පෙන්වන එකම පුද්ගලයා ඔබයි.
You've got to give up gambling once and for all.,ඔබට එක් වරක් සහ සියල්ලන්ටම සූදුව අත්හැරිය යුතුයි.
You've got what it takes to do well in this job.,මෙම රැකියාවෙහි හොඳින් කටයුතු කිරීමට අවශ්ය දේ ඔබට තිබේ.
Your job is to make sure Tom does his job right.,ඔබේ කාර්යය වන්නේ ටෙම් තම රාජකාරිය නිවැරදිව කරන බවට වග බලා ගැනීමයි.
"""I'll do it tomorrow."" ""You said that yesterday!""","""මම හෙට කරන්නම්.""""ඔයා ඊයේ කිව්වා!"""
"""Is there a book in the desk?"" ""No, there isn't.""","""මේසයේ පොතක් තිබේද?""""නැහැ, නැහැ."""
"""Is your father busy?"" ""No, I don't think he is.""","""ඔබේ පියා කාර්යබහුලද?""""නැහැ, මම හිතන්නේ නැහැ ඔහු ඉන්නවා කියලා."""
"""May I help you?"" ""Yes, I'm looking for a dress.""","""මට ඔයාට උදව් කළ හැකි ද?""""ඔව්, මම ඇඳුමක් සොයමි."""
"""What time do you guys wake up?"" ""Eight o'clock.""","""ඔයාලා අවදි වෙන්නේ කීයටද?""""වෙලාව අටයි."""
A chain of events led to the outbreak of the war.,සිදුවීම් දාමයක් යුද්ධය පුපුරා යාමට හේතු විය.
A doctor told me that eating eggs was bad for me.,වෛද්යවරයෙක් මට කිව්වා බිත්තර මට නරකයි කියලා.
A little stage fright is normal before a concert.,ප්රසංගයකට පෙර කුඩා වේදිකාවක් බියෙන් සාමාන්යයි.
A lot of young people went to Hawaii this summer.,මේ ගිම්හානයේදී තරුණ තරුණියන් ගොඩක් හවායි වෙත ගියා.
A man who smacks his wife around is contemptible.,තම බිරිඳ වටා ඇති මිනිසෙකුට අවිවාදිතය.
A monument was erected in memory of the deceased.,මියගිය අයගේ මතකයේ ස්මාරකයක් ඉදිකරන ලදි.
A police car has stopped on the side of the road.,පොලිස් කාර් රථයක් පාරේ පැත්තේ නතර වී ඇත.
A sneeze leaves your body at forty miles an hour.,කිවිසුම් යාමෙන් ඔබේ ශරීරය පැයකට සැතපුම් හතළිහක් ලෙස තබයි.
"According to many religions, adultery is a crime.","බොහෝ ආගම්වලට අනුව, කාමමිථ්යාචාරය අපරාධයකි."
"After much thought, the thief decided to confess.","බොහෝ සිතුවිලි වලින් පසුව, සොරෙකු පාපොච්චාරණය කිරීමට තීරණය කළේය."
"After you kill the sheep, you'll have to skin it.","ඔබ බැටළුවන් මරා දැමූ පසු, ඔබට එය සමට සිදු වේ."
"Against the snow, the white rabbit was invisible.","හිම වලට එරෙහිව, සුදු හාවා අදෘශ්යමාන විය."
All five rabbits were eaten by the hungry wolves.,හාවන් පස්දෙනාම කුසගින්නෙන් පෙළෙන වෘකයන් විසින් අනුභව කරන ලදී.
All of my kids want to learn how to speak French.,මගේ දරුවන්ට අවශ්ය වන්නේ ප්රංශ භාෂාව කතා කරන්නේ කෙසේදැයි ඉගෙන ගැනීමටයි.
All that you have to do is to wait for his reply.,ඔබ කළ යුතුව ඇත්තේ ඔහුගේ පිළිතුර බලාපොරොත්තුවෙන් සිටීමයි.
Almost every person in this country is bilingual.,මේ රටේ සෑම පුද්ගලයෙකුටම පාහේ ද්විභාෂා ය.
Americans who had money were afraid to invest it.,මුදල් තිබූ ඇමරිකානුවන්ට එය ආයෝජනය කිරීමට බිය විය.
And who is this guest standing next to the piano?,පියානෝව අසල සිටගෙන සිටින්නේ කවුද?
Anything that is too stupid to be spoken is sung.,කථා කිරීමට තරම් මෝඩ දෙයක් ගායනා කරයි.
Anything you're good at contributes to happiness.,ඔබ යහපත් දෙයක් සතුටට දායක වේ.
"Apart from my sister, my family doesn't watch TV.","මගේ සහෝදරිය හැරුණු විට, මගේ පවුලේ අය රූපවාහිනිය නරඹන්නේ නැත."
"Apparently, the murder happened in a locked room.","පෙනෙන විදිහට, මෙම murder ාතනය අගුලු දැමූ කාමරයක සිදු විය."
Are you doing something special on your birthday?,ඔබ ඔබේ උපන්දිනය සඳහා විශේෂ දෙයක් කරනවාද?
Are you going to do your homework this afternoon?,ඔබ අද දහවල් ඔබේ ගෙදර වැඩ කරන්න යනවාද?
Are you seriously thinking about eating all that?,ඔබ ඒ සියල්ල ආහාර ගැනීම ගැන බැරෑරුම් ලෙස සිතනවාද?
Are you still thinking about applying to Harvard?,ඔබ තවමත් හාවඩ් වෙත අයදුම් කිරීම ගැන සිතනවාද?
"As long as you're here, you'd better take a bath.","ඔබ මෙහි සිටින තාක් කල්, ඔබ ස්නානය කිරීම හොඳය."
"As usual, the physics teacher was late for class.","සුපුරුදු පරිදි, භෞතික විද්යා ගුරුවරයා පන්තියට ප්රමාද විය."
"Aside from that, is there anything else you want?","ඒ හැරුණු විට, ඔබට අවශ්ය වෙනත් යමක් තිබේද?"
"At first I did not like rock music, but now I do.","මුලදී මම රොක් සංගීතයට කැමති නැත, නමුත් දැන් මම කරනවා."
"At first, everything proceeded according to plan.","මුලදී, සියල්ල සැලැස්ම අනුව ඉදිරියට ගියේය."
"At present, we have 1,600 students at our school.","මේ වන විට අපගේ පාසලේදී සිසුන් 1,600 ක් සිටී."
Be careful what you wish for. It might come true.,ඔබ පතන දේ ගැන පරිස්සම් වන්න.එය සැබෑ විය හැකිය.
"Be respectful to your superiors, if you have any.","ඔබේ ඉහළ නිලධාරීන්ට ගෞරව කරන්න, ඔබට කිසියම් දෙයක් තිබේ නම්."
